asciiname,population,location
Banda,152218,"https://www.google.com/maps/?q=25.47758,80.33491"
Morena,152004,"https://www.google.com/maps/?q=26.49892,77.99534"
Tonk,151331,"https://www.google.com/maps/?q=26.16638,75.78824"
Raj-Nandgaon,150755,"https://www.google.com/maps/?q=21.09687,81.0289"
Serilingampalle,150525,"https://www.google.com/maps/?q=17.49313,78.30196"
Virar,150357,"https://www.google.com/maps/?q=19.45591,72.81136"
Malkajgiri,150000,"https://www.google.com/maps/?q=17.44781,78.52633"
Shantipur,149983,"https://www.google.com/maps/?q=23.24723,88.43302"
Barakpur,148174,"https://www.google.com/maps/?q=22.76602,88.36336"
Erode,147270,"https://www.google.com/maps/?q=11.3428,77.72741"
Ambala,146787,"https://www.google.com/maps/?q=30.36099,76.79782"
Krishnanagar,145926,"https://www.google.com/maps/?q=23.40576,88.49073"
Saharsa,145764,"https://www.google.com/maps/?q=25.87498,86.59611"
Batala,145468,"https://www.google.com/maps/?q=31.80921,75.20294"
Bhimavaram,142967,"https://www.google.com/maps/?q=16.54078,81.52322"
Balurghat,141404,"https://www.google.com/maps/?q=25.22099,88.77732"
Kaithal,140604,"https://www.google.com/maps/?q=29.80153,76.39959"
Lakhimpur,140223,"https://www.google.com/maps/?q=27.94822,80.77935"
Hazaribagh,140063,"https://www.google.com/maps/?q=23.99241,85.36162"
Vidisha,140045,"https://www.google.com/maps/?q=23.52604,77.81092"
Haldwani,139497,"https://www.google.com/maps/?q=29.22254,79.5286"
Habra,139297,"https://www.google.com/maps/?q=22.84202,88.65606"
Kumbakonam,139264,"https://www.google.com/maps/?q=10.96209,79.39124"
Porbandar,138872,"https://www.google.com/maps/?q=21.64219,69.60929"
Chitradurga,138587,"https://www.google.com/maps/?q=14.22262,76.40038"
Thanesar,138279,"https://www.google.com/maps/?q=29.97323,76.83214"
Tiruvannamalai,138243,"https://www.google.com/maps/?q=12.22662,79.07461"
Anand,138009,"https://www.google.com/maps/?q=22.55251,72.9552"
Kanchrapara,136954,"https://www.google.com/maps/?q=22.95998,88.42849"
Mahbubnagar,136135,"https://www.google.com/maps/?q=16.74385,77.98597"
Dimapur,135860,"https://www.google.com/maps/?q=25.91174,93.7217"
Robertsonpet,135218,"https://www.google.com/maps/?q=12.95629,78.27539"
Chhindwara,134847,"https://www.google.com/maps/?q=22.05697,78.93958"
Mandya,134845,"https://www.google.com/maps/?q=12.5223,76.89746"
Bankura,133966,"https://www.google.com/maps/?q=23.23241,87.0716"
Hajipur,133606,"https://www.google.com/maps/?q=25.68544,85.20981"
Gonda City,133583,"https://www.google.com/maps/?q=27.13181,81.95332"
Bhuj,133459,"https://www.google.com/maps/?q=23.25397,69.66928"
Hindupur,133298,"https://www.google.com/maps/?q=13.82807,77.49143"
Shillong,132842,"https://www.google.com/maps/?q=25.56892,91.88313"
Palghat,132728,"https://www.google.com/maps/?q=10.77319,76.65366"
Godhra,131913,"https://www.google.com/maps/?q=22.77547,73.61488"
Kishangarh,131749,"https://www.google.com/maps/?q=26.59006,74.85397"
Raniganj,131261,"https://www.google.com/maps/?q=23.6164,87.13061"
Pilibhit,131008,"https://www.google.com/maps/?q=28.63124,79.80436"
Beawar,130777,"https://www.google.com/maps/?q=26.10119,74.32028"
Abohar,130603,"https://www.google.com/maps/?q=30.14453,74.19552"
Moga,130549,"https://www.google.com/maps/?q=30.81383,75.16878"
Dehri,129938,"https://www.google.com/maps/?q=24.90247,84.18217"
Deoria,129570,"https://www.google.com/maps/?q=26.50167,83.77936"
Hassan,128531,"https://www.google.com/maps/?q=13.00715,76.0962"
Khardah,128346,"https://www.google.com/maps/?q=22.71861,88.37806"
Yavatmal,128175,"https://www.google.com/maps/?q=20.39324,78.13201"
Halisahar,128172,"https://www.google.com/maps/?q=22.93218,88.41859"
Panvel,128046,"https://www.google.com/maps/?q=18.98878,73.11013"
Titagarh,127751,"https://www.google.com/maps/?q=22.74252,88.37326"
Cuddapah,127010,"https://www.google.com/maps/?q=14.47995,78.82346"
Bettiah,127008,"https://www.google.com/maps/?q=26.80229,84.50311"
Hathras,126882,"https://www.google.com/maps/?q=27.59551,78.05201"
Lalitpur,126475,"https://www.google.com/maps/?q=24.69007,78.41915"
Kolar,126441,"https://www.google.com/maps/?q=13.13768,78.12999"
Mandsaur,124988,"https://www.google.com/maps/?q=24.07184,75.06986"
Gondia,124897,"https://www.google.com/maps/?q=21.46026,80.19205"
Rajapalaiyam,124168,"https://www.google.com/maps/?q=9.45296,77.55335"
Darjiling,123797,"https://www.google.com/maps/?q=27.03333,88.26667"
Mohali,123484,"https://www.google.com/maps/?q=30.67995,76.72211"
Palanpur,123294,"https://www.google.com/maps/?q=24.17128,72.43827"
Dam Dam,122719,"https://www.google.com/maps/?q=22.63341,88.42286"
